season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,rookie_market_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,006a6948-c022-4140-9f09-55496c717ec8,美丽游戏,True,9c6d0d26-d73b-4e64-a24b-07ecc3e24dcf,1,3,24,14,7,3,4,42,35,7,14,78.93,86.5,97,4,0,0,0,0,0,4200000.0,2480684.0,59.06,14723231.99,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,0242f21a-8b9b-4208-aadb-86fb1fd449a2,里约狂欢,True,72fb7b0c-5295-4288-b728-03f98b7d97f1,3,4,20,14,6,2,6,24,27,-3,14,67.93,73.75,87,5,0,0,0,0,0,2250000.0,1215052.0,54.0,9284974.65,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,03f5bd09-801f-446a-926d-429a38dcb222,蓝衣军团,True,811f9c6d-a4b4-4ab1-91f1-8817977993e7,4,1,27,14,8,3,3,31,19,12,12,61.83,66.25,84,6,0,0,0,0,0,1600000.0,738210.0,46.14,6366219.23,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,041b9c14-53cd-47e2-ba36-44074062a571,莫莫之王,True,72fb7b0c-5295-4288-b728-03f98b7d97f1,3,6,18,14,4,6,4,25,26,-1,15,66.2,71.88,81,6,0,0,0,0,0,2250000.0,1167125.0,51.87,9278720.68,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,05f34921-c348-4f0f-a858-a424b12b7083,十字军东,True,5223ef74-be5a-4ff0-a3bc-6f00f60b2290,4,8,10,14,2,4,8,15,23,-8,13,65.0,69.88,76,6,0,0,0,0,0,1600000.0,920700.0,57.54,5924016.5,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,06f191f9-a375-41b6-bc60-7e8b63676e15,苍穹雄鹰,True,a8fde632-9f65-467d-bc44-32641788bb66,3,3,23,14,7,2,5,31,29,2,15,71.27,75.38,80,5,0,0,0,0,0,2250000.0,1510679.0,67.14,8921318.45,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,07056dfd-f9c6-4791-8d63-f69d100f6743,绿白贝蒂,True,f6133552-fe86-45c0-b38c-2db8b01a5519,3,6,17,14,5,2,7,23,29,-6,14,67.79,72.25,83,5,0,0,0,0,0,2250000.0,1156237.0,51.39,9318077.02,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,07965bb2-7a10-4607-8b8a-330288c20759,波斯猫王,True,0ffb4d3f-f9b6-4842-89bd-f17abe7c33e0,4,5,17,14,5,2,7,29,19,10,15,63.33,69.0,80,8,0,0,0,0,0,1600000.0,849319.0,53.08,6053948.87,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,08daac9b-7379-41a6-89f9-0175a30a57f0,金字塔尖,True,ae1face9-61aa-4db8-8abd-3463c41992ac,1,5,16,14,4,4,6,29,30,-1,14,81.14,86.75,93,5,0,0,0,0,0,4200000.0,2656443.0,63.25,14223953.24,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,0a73c2c3-2dee-40ab-961d-65ad1418d3c0,金毛狮王,True,4ccb4dce-5cb6-41ee-9b8f-130355d57f46,4,8,15,14,4,3,7,22,32,-10,15,59.4,65.0,69,7,0,0,0,0,0,1600000.0,599163.0,37.45,6468776.01,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,0a7fa292-ac6f-4bc4-b708-941a6d83305f,桑布露族,True,822ee6f8-be94-43c1-8460-850fe5293ff6,4,3,22,14,7,1,6,21,29,-8,15,63.47,69.38,77,3,0,0,0,0,0,1600000.0,898241.0,56.14,6031529.4,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,0b9e1fa2-9a0a-4e0e-8791-db8fcdeab4a5,猫眼石闪,True,eb81a4ce-e24f-492d-917f-7b0ebba15a78,4,4,18,14,4,6,4,20,22,-2,15,63.93,70.12,75,4,0,0,0,0,0,1600000.0,941803.0,58.86,6009013.6,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,0c8053f3-c52d-40b3-a3b1-af7fb78cbbf3,斯图加特,True,b785d06a-d78a-428c-91f0-ff4a9f469f4b,4,6,19,14,6,1,7,20,23,-3,15,61.2,66.62,73,6,0,0,0,0,0,1600000.0,758377.0,47.4,6191240.25,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,0e512073-f2d2-4b58-8843-a5362f428a15,青云直上,True,8b1656f4-7d18-4b1d-aebc-370c7d2d9fb7,4,2,24,14,7,3,4,19,12,7,13,58.54,63.12,76,6,0,0,0,0,0,1600000.0,692506.0,43.28,6395593.3,A,none
