season_number,season_id,player_id,player_name,team_id,position,age,ovr,potential,origin_type,wage,match_form,state_score,contract_score,recent_match_score,fitness_score,match_load_score,match_rust_score,attribute_modifier_pct,stamina_modifier,recent_ratings,recent_minutes,matches,goals,assists,average_rating
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,1cb39614-f0c2-4274-ac7f-11fdc0e69538,刘方布,5bf54cba-5b7a-4632-bf59-503ac4f493ab,MF,31,73,S,generated,0.0,GOOD,2,0,4,-2,-1,0,0.008,-18.0,"[7.5, 9.7, 7.0]","[50, 50, 50]",16,3,1,7.85
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,e6b2075d-8b10-4ebf-84a2-4085242654be,燮赫 铎,93ff00a3-339b-42ba-af04-9e5d7977938a,GK,26,52,A,generated,25351.0,LOW,-6,-1,-3,-2,-1,0,-0.024,-18.0,"[5.8, 5.6, 5.6]","[50, 50, 50]",15,0,0,6.13
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,a052cad3-87af-4afc-8a1e-87b8c0cd42b0,阿蒂尔 米兰达,4812c221-b983-4262-8849-407bd855fee7,DF,33,63,A,generated,62472.0,LOW,-3,-1,0,-2,-1,0,-0.012,-18.0,"[7.1, 6.1, 7.0]","[50, 50, 50]",15,1,2,7.33
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,804c0b6d-188c-4a36-bfda-d57252560a23,韦达斯托 埃尔朗加,650c94ec-9237-4067-be84-258d382203ec,DF,32,56,A,generated,35846.0,NEUTRAL,-1,-1,2,-2,-1,0,-0.004,-18.0,"[6.9, 7.1, 8.7]","[50, 50, 70]",17,1,1,7.36
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,d9908f60-9e1c-47d9-90c4-9e4d9749b3c2,瓦迪 法赫德,8553c06a-9ed5-48c8-bad0-2a8a14d72fe0,DF,33,58,A,generated,43143.0,NEUTRAL,-1,-1,2,-2,-1,0,-0.004,-18.0,"[8.4, 8.5, 6.9]","[50, 70, 50]",18,1,0,7.32
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,70f14491-1e74-487b-8af4-97edbbb9eaec,马库斯 阿斯克兰德,fad41aab-9b84-4b06-ad94-82ef1383e7f9,MF,30,82,S,generated,157140.0,GOOD,2,0,4,-2,-1,0,0.008,-18.0,"[7.7, 7.6, 9.1]","[50, 50, 50]",17,4,2,8.12
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,82edffd0-1e88-4b9e-90dc-44ff12347f2c,金斯利 米克森,48831857-1b6a-413e-bda8-5719fd283efc,DF,26,80,S,generated,187000.0,NEUTRAL,0,0,2,-2,-1,0,0.0,-18.0,"[7.2, 7.8, 7.1]","[50, 50, 50]",20,0,1,7.29
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,d05a92a6-11e0-458d-81b2-e57bf33900e2,瓦莱尔 奥尔蒂斯,753fa88c-427d-4800-8add-ac9451df3fe9,DF,28,65,A,generated,58230.0,NEUTRAL,-1,-1,2,-2,-1,0,-0.004,-18.0,"[7.7, 7.2, 7.2]","[50, 50, 50]",16,2,4,7.8
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,ade672d4-0178-45dd-b75c-a1b729d797a7,曼利奥 莱昂,7be612ad-7273-430a-8cbb-9efaccee934a,DF,31,58,B,generated,40039.0,LOW,-4,-1,-1,-2,-1,0,-0.016,-18.0,"[6.6, 6.0, 6.6]","[50, 50, 50]",17,1,0,7.14
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,00d4ba14-0858-45ef-aee0-1ac0aa581ec9,向菊,779059e3-52dd-41b9-87e5-c8044b7c1811,MF,26,68,A,generated,79200.0,NEUTRAL,0,0,2,-2,-1,0,0.0,-18.0,"[7.4, 7.2, 7.1]","[50, 50, 50]",16,5,1,7.72
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,99b68629-45f1-4253-b765-6e93ef16a66c,正樹 小村,dfd5c178-63e7-4592-8430-0bf56ef6b746,DF,31,75,A,generated,0.0,NEUTRAL,0,0,2,-2,-1,0,0.0,-18.0,"[7.1, 8.3, 7.9]","[50, 50, 50]",15,0,0,7.77
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,343f97b3-850f-4557-bd1a-216a22d9fb5a,菲利浦 卡费尔尼科夫,19e3f4c4-6b77-4626-8851-46bf9cd3f50d,FW,29,78,S,generated,129960.0,GOOD,2,0,4,-2,-1,0,0.008,-18.0,"[9.1, 8.2, 7.1]","[50, 50, 50]",17,1,5,7.5
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,356a7712-8440-4d7f-8845-71960acfa7d4,正弘 柴田,556d3a6a-e537-4d72-873b-01c32bb956b2,DF,26,72,S,generated,92378.0,LOW,-3,-2,-1,0,-1,0,-0.012,-4.0,"[6.1, 6.3, 6.9]","[50, 50, 50]",12,0,0,6.48
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,2c3cca38-2cc0-4703-a5c0-6aa323f6899e,郭文诺,8553c06a-9ed5-48c8-bad0-2a8a14d72fe0,MF,24,61,S,generated,41895.0,GOOD,2,0,4,-2,-1,0,0.008,-18.0,"[9.2, 7.8, 7.5]","[50, 70, 50]",18,4,3,7.87
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,cd3368f8-5eb1-45e5-8d9a-78860a965a6f,沃尔夫冈 阿尔芒,502f7b1b-fa02-4b4f-805a-7634322229c7,FW,29,64,A,generated,46940.0,NEUTRAL,0,0,2,-2,-1,0,0.0,-18.0,"[7.0, 7.4, 7.7]","[50, 50, 70]",16,7,1,7.76
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,57950ec4-a926-44fb-b75e-f7eed2cd9bcb,亨德拉 卡代克,7792e428-9917-4402-9eec-fe0f7b5a05f2,FW,32,65,A,generated,65780.0,NEUTRAL,-1,-1,0,1,-1,-1,-0.004,3.0,"[6.5, 6.5, 6.6]","[50, 50, 50]",8,0,1,6.96
