season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,rookie_market_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,006a6948-c022-4140-9f09-55496c717ec8,美丽游戏,True,9c6d0d26-d73b-4e64-a24b-07ecc3e24dcf,1,4,21,14,6,3,5,32,28,4,18,63.78,84.62,97,14,0,8,2,0,0,4200000.0,2180861.0,51.93,5870132.47,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,0242f21a-8b9b-4208-aadb-86fb1fd449a2,里约狂欢,True,72fb7b0c-5295-4288-b728-03f98b7d97f1,3,7,14,14,3,5,6,21,28,-7,18,55.67,70.5,87,14,0,8,3,0,0,2250000.0,1021141.0,45.38,4385691.15,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,03f5bd09-801f-446a-926d-429a38dcb222,蓝衣军团,True,811f9c6d-a4b4-4ab1-91f1-8817977993e7,4,3,22,14,6,4,4,24,25,-1,18,50.22,64.5,84,14,0,8,2,0,0,1600000.0,665190.0,41.57,3514831.67,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,041b9c14-53cd-47e2-ba36-44074062a571,莫莫之王,True,72fb7b0c-5295-4288-b728-03f98b7d97f1,3,8,12,14,3,3,8,21,34,-13,18,56.28,67.25,77,12,0,6,2,0,0,2250000.0,739947.0,32.89,4479691.35,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,05f34921-c348-4f0f-a858-a424b12b7083,十字军东,True,5223ef74-be5a-4ff0-a3bc-6f00f60b2290,4,5,19,14,5,4,5,23,24,-1,18,58.11,72.5,96,15,0,8,3,0,0,1600000.0,993582.0,62.1,2919748.02,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,06f191f9-a375-41b6-bc60-7e8b63676e15,苍穹雄鹰,True,a8fde632-9f65-467d-bc44-32641788bb66,3,1,25,14,7,4,3,34,23,11,18,62.5,74.38,80,11,0,4,2,0,0,2250000.0,1380925.0,61.37,3536748.33,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,07056dfd-f9c6-4791-8d63-f69d100f6743,绿白贝蒂,True,b785d06a-d78a-428c-91f0-ff4a9f469f4b,4,1,29,14,9,2,3,34,14,20,18,55.56,70.75,83,10,0,6,2,0,0,1600000.0,884974.0,55.31,4792870.1,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,07965bb2-7a10-4607-8b8a-330288c20759,波斯猫王,True,0ffb4d3f-f9b6-4842-89bd-f17abe7c33e0,4,2,25,14,7,4,3,33,21,12,18,57.5,68.38,80,11,0,5,1,0,0,1600000.0,806753.6,50.42,2939534.17,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,08daac9b-7379-41a6-89f9-0175a30a57f0,金字塔尖,True,ae1face9-61aa-4db8-8abd-3463c41992ac,1,2,30,14,9,3,2,38,24,14,18,61.83,81.5,92,15,0,8,1,0,0,4200000.0,1788963.0,42.59,6134841.36,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,0a73c2c3-2dee-40ab-961d-65ad1418d3c0,金毛狮王,True,4ccb4dce-5cb6-41ee-9b8f-130355d57f46,4,7,14,14,3,5,6,21,25,-4,18,54.17,65.0,69,13,0,5,1,0,0,1600000.0,643745.8,40.23,3631626.44,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,0a7fa292-ac6f-4bc4-b708-941a6d83305f,桑布露族,True,822ee6f8-be94-43c1-8460-850fe5293ff6,4,5,18,14,5,3,6,22,22,0,18,55.56,69.0,77,12,0,6,3,0,0,1600000.0,880667.0,55.04,2711819.41,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,0b9e1fa2-9a0a-4e0e-8791-db8fcdeab4a5,猫眼石闪,True,eb81a4ce-e24f-492d-917f-7b0ebba15a78,4,3,25,14,7,4,3,31,19,12,18,56.72,68.75,75,12,0,5,2,0,0,1600000.0,823123.0,51.45,2556068.73,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,0c8053f3-c52d-40b3-a3b1-af7fb78cbbf3,斯图加特,True,b785d06a-d78a-428c-91f0-ff4a9f469f4b,4,4,22,14,7,1,6,24,18,6,18,52.72,63.25,70,12,0,6,2,0,0,1600000.0,574647.6,35.92,3384986.58,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,0e512073-f2d2-4b58-8843-a5362f428a15,青云直上,True,ba46fa64-5997-4e5b-89db-5d48b7c51e8a,3,8,9,14,2,3,9,13,28,-15,18,48.33,60.38,76,14,0,9,3,0,0,2250000.0,567420.0,25.22,3968596.78,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,0f6be741-99a1-4685-827b-e1b02c706da7,草原战狼,True,ba46fa64-5997-4e5b-89db-5d48b7c51e8a,3,5,17,14,5,2,7,23,25,-2,18,59.78,73.75,78,12,0,5,1,0,0,2250000.0,1168727.0,51.94,3784784.03,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,0fa74f65-e7fb-4f14-8c52-7b634a95dee8,狼堡沃尔夫,True,f6133552-fe86-45c0-b38c-2db8b01a5519,3,7,12,14,2,6,6,18,25,-7,18,55.67,80.0,94,17,0,9,3,0,0,2250000.0,1504189.0,66.85,2980808.7,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,102ce65e-e59d-4863-8e67-aa514fed7602,老鹰水晶宫,True,eb1ba9bc-fe8f-4b5b-92bd-dff3e3a1f2f3,3,3,25,14,7,4,3,29,24,5,18,54.5,71.88,96,15,0,11,1,0,0,2250000.0,1158495.0,51.49,4823983.24,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,119e7558-6e26-466f-96d7-37a30d765b77,阿拉维斯,True,f6133552-fe86-45c0-b38c-2db8b01a5519,3,8,12,14,2,6,6,17,24,-7,18,59.06,70.62,77,12,0,5,1,0,0,2250000.0,958772.0,42.61,4621936.65,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,11fbf46f-5233-405a-83dc-0e6238a4b678,霍村霍芬,True,de56c9e6-63b1-4370-bc29-6517a02f70cd,4,2,22,14,7,1,6,28,24,4,18,52.67,67.25,91,14,0,6,3,0,0,1600000.0,702040.8,43.88,3482569.51,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,13ad2944-3ec7-4ec5-87d6-19e0eb43b2e3,红军利物浦,True,2d17195f-6693-4497-b01a-83f4fc30c946,1,1,27,14,9,0,5,35,28,7,18,68.5,79.62,91,11,0,4,2,0,0,4200000.0,1827773.0,43.52,7936785.64,A,none
5,be8362ec-6fa4-41a6-94b0-0e4c333e19b4,14af1578-ce27-4594-9477-7fb7fcc2df95,乞力马扎,True,1124dfd9-90be-479e-a29f-a23303cd7902,4,1,30,14,9,3,2,24,15,9,18,55.44,68.12,80,12,0,5,1,0,0,1600000.0,771696.6,48.23,2835229.73,A,none
