season_number,season_id,player_id,player_name,team_id,position,age,ovr,potential,origin_type,wage,match_form,state_score,contract_score,recent_match_score,fitness_score,match_load_score,match_rust_score,attribute_modifier_pct,stamina_modifier,recent_ratings,recent_minutes,matches,goals,assists,average_rating
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,f9b880e0-b0a3-4162-87d0-caf90661998a,魏输,67e432d7-2e54-4ee4-a770-f40e630e6bc8,GK,33,64,A,generated,36508.0,LOW,-2,0,0,-2,-1,0,-0.008,-18.0,"[7.0, 6.3, 6.9]","[50, 50, 50]",16,0,0,6.6
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,6c666ab9-4032-4070-97a8-81891dc91c04,莫文同,384f01a0-83ea-4923-b450-d4672f0661fe,MF,24,42,S,academy,8782.0,LOW,-3,-2,-1,1,-1,-1,-0.012,3.0,"[6.2, 6.2, 6.5]","[50, 50, 50]",4,0,0,6.4
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,dc2265e5-b730-4ae2-bdd6-fae249d9941c,克林特 蒙克,179def1b-c245-42c7-a39c-6de91882b237,DF,32,76,S,generated,89110.0,GOOD,2,0,4,-2,-1,0,0.008,-18.0,"[7.8, 9.2, 8.1]","[50, 50, 50]",18,3,3,7.73
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,f0c0dc79-8832-4fc8-ab3e-b440ea26e476,徐竺,aaf997c0-ab27-4381-9357-c0ff681628d1,MF,30,63,A,generated,43862.0,GOOD,2,0,4,-2,-1,0,0.008,-18.0,"[9.3, 10.0, 6.8]","[50, 50, 50]",17,4,0,7.49
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,bae4bede-bfb0-4c39-b3a0-be64da9bf85f,斯托扬 伊万诺夫,1fc6b440-f3a0-40a8-9da9-6aeb7511c6f2,DF,36,59,A,generated,0.0,NEUTRAL,1,-1,4,-2,-1,0,0.004,-18.0,"[7.2, 8.8, 8.0]","[50, 50, 50]",15,1,1,7.13
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,9c0f3c70-403e-4466-a0cb-4c88bf16c737,奥托 弗兰松,e19278fd-c33e-4fe9-a9f4-715d2d54e703,DF,29,60,A,generated,42214.0,LOW,-3,-1,0,-2,-1,0,-0.012,-18.0,"[7.1, 6.6, 7.1]","[50, 50, 50]",16,0,1,7.45
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,d837ecc6-10f2-4f65-8437-2c2969948e06,曹文坤,2057008e-e99c-4efd-9acf-ff25f2ea4cff,MF,32,79,S,generated,107065.0,GOOD,2,0,4,-2,-1,0,0.008,-18.0,"[9.2, 10.0, 9.0]","[50, 50, 50]",19,4,6,8.04
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,b2045ed5-9b25-4bd1-985d-f68b64b22f54,阿舍 柯克帕特里克,624a04b6-7550-4b86-9fd9-b2a25e6bbe7f,MF,25,45,S,academy,9907.0,LOW,-2,-1,-1,1,-1,-1,-0.008,3.0,"[6.1, 6.6, 6.3]","[50, 50, 50]",8,0,2,6.8
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,dbcc1edc-0b4a-45cd-b8de-290659ace688,沃伊切赫 肖洛霍夫,401342f0-c394-4c39-a137-a6ca18f3f59b,MF,33,81,S,generated,114660.0,GOOD,2,0,4,-2,-1,0,0.008,-18.0,"[10.0, 6.4, 7.6]","[50, 50, 50]",16,7,7,8.26
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,ad26a2fb-e046-400b-8c47-bf7fd3a1607d,卢卡斯 卡拉布里亚,87b0b70d-b0f6-44a0-bf9b-4659642ca4e0,FW,32,66,A,generated,49000.0,LOW,-2,0,0,-2,-1,0,-0.008,-18.0,"[6.6, 8.0, 6.9]","[50, 50, 50]",16,9,0,7.93
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,b03efaca-9292-494e-ad87-2f72cde95ffd,韦利米尔 斯塔罗斯京,285bca99-7be9-4c07-aecf-8920c07367ef,DF,26,55,A,generated,26928.0,LOW,-4,-1,-1,-2,-1,0,-0.016,-18.0,"[7.1, 6.0, 6.1]","[50, 50, 50]",15,0,0,6.81
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,65e8f6a6-a460-4007-b719-0d54f23f8056,杨露,9ad3f058-4fc7-4b60-b359-1471322a5ba5,MF,24,58,S,academy,0.0,LOW,-5,-3,-1,1,-1,-2,-0.02,3.0,"[6.1, 5.7, 6.4]","[50, 50, 50]",8,0,0,6.15
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,2ab2f8f2-0ae5-4c38-a0e9-760e3469067b,西尔瓦诺 鲁维奥,841e1477-b251-4fd0-9f25-99ec2c47b283,MF,34,65,A,generated,0.0,NEUTRAL,-1,-1,2,-2,-1,0,-0.004,-18.0,"[7.7, 7.4, 7.3]","[50, 50, 50]",15,3,0,7.69
