season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,rookie_market_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,006a6948-c022-4140-9f09-55496c717ec8,美丽游戏,True,9c6d0d26-d73b-4e64-a24b-07ecc3e24dcf,1,1,32,14,10,2,2,34,20,14,17,68.06,87.5,97,14,0,6,2,0,0,4200000.0,2175093.5,51.79,3724198.18,A,none
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,0242f21a-8b9b-4208-aadb-86fb1fd449a2,里约狂欢,True,b34e5953-6ecc-49f9-b231-ac8b8d7f89da,2,1,36,14,11,3,0,39,18,21,17,65.71,84.75,95,15,0,6,2,0,0,3100000.0,1664157.75,53.68,3254115.59,A,none
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,03f5bd09-801f-446a-926d-429a38dcb222,蓝衣军团,True,811f9c6d-a4b4-4ab1-91f1-8817977993e7,4,5,17,14,5,2,7,23,24,-1,16,57.38,72.5,91,13,0,5,1,0,0,1600000.0,900155.5,56.26,2127047.48,A,none
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,041b9c14-53cd-47e2-ba36-44074062a571,莫莫之王,True,822ee6f8-be94-43c1-8460-850fe5293ff6,4,5,21,14,5,6,3,28,23,5,18,59.11,75.62,90,14,0,7,3,0,0,1600000.0,1090798.0,68.17,3762040.35,A,none
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,05f34921-c348-4f0f-a858-a424b12b7083,十字军东,True,5223ef74-be5a-4ff0-a3bc-6f00f60b2290,4,1,34,14,11,1,2,36,19,17,17,58.41,74.75,89,12,0,6,2,0,0,1600000.0,891829.0,55.74,2146098.4,A,none
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,06f191f9-a375-41b6-bc60-7e8b63676e15,苍穹雄鹰,True,a8fde632-9f65-467d-bc44-32641788bb66,3,5,19,14,5,4,5,20,25,-5,15,62.47,71.88,80,10,0,4,0,0,0,2250000.0,966259.0,42.94,2077152.38,A,none
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,07056dfd-f9c6-4791-8d63-f69d100f6743,绿白贝蒂,True,b785d06a-d78a-428c-91f0-ff4a9f469f4b,4,1,31,14,10,1,3,38,21,17,17,59.59,77.25,88,11,0,6,2,0,0,1600000.0,1142246.45,71.39,3145217.75,A,none
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,07965bb2-7a10-4607-8b8a-330288c20759,波斯猫王,True,0ffb4d3f-f9b6-4842-89bd-f17abe7c33e0,4,3,24,14,7,3,4,31,24,7,16,56.38,68.62,88,12,0,6,1,0,0,1600000.0,670074.5,41.88,2240639.86,A,none
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,08daac9b-7379-41a6-89f9-0175a30a57f0,金字塔尖,True,ae1face9-61aa-4db8-8abd-3463c41992ac,1,3,25,14,8,1,5,30,15,15,16,68.44,84.75,92,12,0,5,1,0,0,4200000.0,1797903.5,42.81,3829413.89,A,none
8,4abc3344-ab7a-46fa-9f73-d9b0456a4f5e,0a73c2c3-2dee-40ab-961d-65ad1418d3c0,金毛狮王,True,4ccb4dce-5cb6-41ee-9b8f-130355d57f46,4,8,7,14,1,4,9,15,25,-10,18,53.78,64.25,69,14,0,6,2,0,0,1600000.0,542408.0,33.9,2864365.24,A,none
