season_number,season_id,team_id,team_name,is_ai,roster_count,injuries_created,injuries_minor,injuries_medium,injuries_major,training_injuries,match_injuries,active_injuries,active_medium_major_injuries,avg_max_body_wear,max_body_wear,players_body_wear_over_70,players_body_wear_over_90
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,00983e2e-e8bd-47be-a022-5774b994caa7,蓝黑战士,True,16,4,4,0,0,3,1,0,0,3.39,4.8,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,0192de1b-b1f4-4f4b-af0f-934452bda0d1,武当太极,True,16,1,1,0,0,1,0,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,02674860-147a-44e2-843a-da5f0e9f81bc,蓝宝石海,True,16,5,3,2,0,1,4,0,0,5.03,5.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,03832f41-a31c-4d42-a687-158df7a831d7,魔毯飞行,True,16,6,6,0,0,3,3,0,0,2.27,2.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,090b2c3b-fb42-4eaa-a978-2463ed4dc234,玄武镇海,True,16,3,3,0,0,0,3,0,0,2.29,2.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,0a5b6a82-d483-486a-9d11-592a154fbf0c,绿洲驼队,True,16,4,4,0,0,4,0,0,0,4.11,4.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,0fc36386-3ee4-4343-9c56-3b6ccc661da3,猎豹闪电,True,17,5,3,1,1,1,4,0,0,2.48,3.6,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,1135d594-4576-4c49-8126-ef5d77f4c9de,烈焰狂狮,True,16,1,1,0,0,1,0,0,0,3.13,3.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,11bbc8df-418e-40ea-a638-3ee287139ed6,雪豹冰山,True,15,3,3,0,0,3,0,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,121a8ce8-a60e-4dbc-8943-f888ae0138df,波斯勇士,True,16,0,0,0,0,0,0,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,12b9b35d-129c-462a-b966-ec1e353e0928,苍鹰搏兔,True,16,3,3,0,0,2,1,0,0,2.19,2.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,13ff2225-f620-4205-8acb-fc3b5053862a,非洲犀牛,True,16,5,5,0,0,4,1,0,0,3.19,3.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,163b7787-c249-4bfa-8242-a0f2b860d2cf,大地之力,True,16,2,2,0,0,1,1,0,0,6.1,8.4,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,1737da78-c242-462b-8962-3694873576be,雄鹰法兰,True,16,6,6,0,0,4,2,0,0,3.17,3.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,18090434-c547-4e31-bc35-c7efb038c31d,宇宙巴萨,True,16,8,7,1,0,1,7,0,0,1.36,3.39,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,1950e07c-a077-441f-b406-16b12daa45c7,西班牙人,True,16,5,5,0,0,3,2,0,0,3.33,4.8,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,19d4e548-1c7f-4706-a0df-f0446a99c617,金豹捕猎,True,16,7,6,1,0,5,2,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,1a3f033a-4e73-46cb-8f58-d20c32e04fd2,西域雪狼,True,16,2,1,1,0,1,1,0,0,0.07,1.2,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,1c91e42f-e538-4301-89c5-50c7324055dc,高乔骑士,True,16,5,3,1,1,2,3,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,1e00f974-ec58-4b4c-be20-faf412d9027e,汉诺威红,True,16,4,4,0,0,2,2,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,1f522e60-e720-4a28-a30d-1352879957b4,弯月之星,True,17,3,3,0,0,0,3,0,0,1.39,1.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,1fc0382f-e8e4-4817-8a9b-86acd3f47e81,冰狼踏雪,True,17,1,1,0,0,0,1,0,0,1.41,2.4,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,20979679-9c36-4bfc-8639-cd644706a4f1,皇家社会,True,16,4,4,0,0,4,0,1,0,3.19,3.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,2125a9ec-76c0-4c3f-90e8-039afd4c2e5e,山楂球西布,True,16,1,1,0,0,0,1,0,0,2.33,3.6,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,225a9ffb-e671-4019-93cc-cbc6572216de,草原猎鹰,True,16,3,3,0,0,3,0,0,0,0.15,1.2,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,23d24ae7-74bc-4ad2-9b70-0df8e9f10c5d,威尼斯假,True,16,6,6,0,0,2,4,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,242e04d1-fbaf-4773-9832-f963bb36cdbf,贝都因骑,True,16,5,4,1,0,1,4,0,0,1.2,1.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,2465461a-8563-46cd-873a-baaa6a467841,大流士王,True,16,1,1,0,0,1,0,0,0,3.21,4.8,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,246f43f2-0e83-4eb6-8f73-abd9beda391d,蓝月亮城,True,17,3,3,0,0,1,2,0,0,1.25,1.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,249c854a-a6cf-4ef6-b379-4253c33a08f4,非洲猎豹,True,16,4,4,0,0,3,1,0,0,1.35,1.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,24ee4c01-522f-45bb-b7b2-f6a47a1598d3,罗马狼王,True,16,4,4,0,0,2,2,0,0,1.31,1.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,2678b819-3da4-4304-a4fc-0973fd2f630e,塞伦盖蒂,True,16,1,1,0,0,1,0,0,0,4.79,7.2,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,274fc978-b187-40f1-ab2e-8de5ba54d181,天然气王,True,16,1,1,0,0,0,1,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,27550134-d903-4055-ab54-4af1341d4314,撒哈拉驼,True,16,6,5,1,0,3,3,0,0,2.73,22.98,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,278885b1-f652-4775-92de-8dcd14d9bc93,图阿雷格,True,16,1,1,0,0,1,0,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,27a76999-b51f-4c41-b3d6-da7989a5c411,黑虎掏心,True,17,3,2,1,0,1,2,0,0,1.68,3.6,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,296adf8c-b827-4c9d-8bb5-41e1f387f372,水豚憨态,True,16,3,3,0,0,3,0,0,0,1.29,1.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,2aab03b8-1a68-409b-b46b-324058dca0c6,科隆山羊,True,15,5,5,0,0,5,0,0,0,0.56,8.35,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,2b6cd430-daf3-4110-b52c-78be813d14e5,刚果王国,True,16,3,3,0,0,3,0,0,0,0.96,11.36,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,2d385586-589a-4f5c-8534-6ff244cf310c,阿拉伯夜,True,17,0,0,0,0,0,0,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,2e48ed42-88f4-4899-9cf5-ecad75931d4a,北方苍狼,True,16,4,3,1,0,1,3,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,2e94468c-2436-4f60-80d5-78d7147a1bb6,石化巨人,True,16,4,2,2,0,2,2,0,0,0.42,6.65,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,2f61c6ea-7c93-4f2f-807a-9c17b26fd688,长颈鹿颈,True,16,6,5,0,1,3,3,0,0,0.75,1.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,2fa52165-4377-45e5-8d06-9e18100f6c99,北海苍龙,True,16,4,4,0,0,2,2,0,0,2.15,2.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,317e8d83-dc2d-4179-8a43-55ef610cd565,沙滩足球,True,17,3,2,1,0,2,1,0,0,2.95,3.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,33e39c40-1488-4a7e-8145-00280a237aed,花车巡游,True,16,3,3,0,0,3,0,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,3616958e-ca58-4b30-91ed-d810a9409d5b,大津巴布,True,17,5,5,0,0,5,0,0,0,0.15,2.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,37af924e-79a8-4895-8c85-c8c3a43d0ce0,马赛马拉,True,15,3,3,0,0,3,0,0,0,2.23,2.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,37d0221b-b783-41ef-ba45-4afbadfcca2e,黑金帝国,True,17,2,2,0,0,2,0,0,0,0.15,2.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,37e823df-a354-48ba-9cb9-a5f2aa80b09e,单峰快驼,True,16,6,5,1,0,4,2,0,0,2.39,3.6,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,3850a89f-9b56-43e4-886c-b239f5a141b1,喜鹊纽卡,True,16,3,2,0,1,2,1,0,0,0.07,1.2,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,3af34a43-f7c8-4a10-833e-b929ef808f8f,黄色潜水艇,True,16,1,1,0,0,1,0,0,0,3.23,4.8,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,3b81880a-c267-41f8-842f-be557a392611,累西腓鼓,True,16,2,2,0,0,1,1,0,0,2.29,2.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,3c35e50c-47f9-4e79-bdf1-a0368ab99700,骆驼骑士,True,16,2,2,0,0,0,2,0,0,0.95,2.4,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,3cf98f89-d3ee-4eb1-add3-d165adc163da,树懒慢动,True,15,4,4,0,0,3,1,0,0,0.08,1.2,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,3d74852b-cef9-4536-90d3-ab20c3f1d39a,青金石蓝,True,16,0,0,0,0,0,0,0,0,3.23,3.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,3d7c7ccd-3c62-49de-af2b-51d1b186ca84,西域猛虎,True,16,4,2,2,0,2,2,0,0,0.0,0.0,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,3e90263d-9aa2-495f-9391-402267f48e45,水手桑普,True,15,3,3,0,0,3,0,0,0,3.46,7.91,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,3f143543-33be-40b5-9675-d1e965a811eb,东方雄狮,True,15,2,2,0,0,1,1,0,0,0.87,2.4,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,4158ea87-e495-4b6a-a108-54d8bfaaa5e3,野马奔腾,True,16,4,4,0,0,4,0,1,0,0.88,1.5,0,0
1,652de4c5-3ffb-42af-9203-8e06a0c6411a,417aede9-0129-47b2-937c-94eb89a7d0d8,管道巨头,True,16,3,3,0,0,3,0,0,0,4.44,4.5,0,0
