season_number,season_id,player_id,player_name,team_id,position,age,ovr,potential,origin_type,wage,match_form,state_score,contract_score,recent_match_score,fitness_score,match_load_score,match_rust_score,attribute_modifier_pct,stamina_modifier,fitness,fatigue,current_injury_severity,current_injury_part,current_injury_remaining_days,season_injuries,max_body_wear,max_body_wear_part,attribute_progress_total,attrs_at_20,recent_ratings,recent_minutes,matches,goals,assists,shots,shots_on_target,passes,passes_succ,key_passes,crosses,crosses_succ,tackles,tackles_succ,interceptions,clearances,blocks,average_rating
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,c5a45bed-c713-4e4c-aaba-89749f5f232c,郑文韬,16f7008f-6643-4735-8110-b4e56a8319ce,MF,27,58,C,generated,37432.0,GOOD,3,0,2,1,-1,0,0.012,3.0,100,57,0,,0,0,0.0,hamstring,-8.38,0,"[8.5, 7.6, 6.8]","[50, 50, 50]",15,5,2,20,10,338,266,5,5,4,33,26,30,9,15,8.11
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,5d9c83c5-2dda-4251-8fb9-078686c830eb,毛罗 基耶利尼,29fa5453-d9c6-43af-8280-66d7b7c30e05,DF,24,54,D,generated,22950.0,NEUTRAL,1,-1,2,0,-1,0,0.004,0.0,86,88,0,,0,0,3.5,hamstring,9.57,0,"[7.3, 7.0, 7.8]","[50, 50, 50]",18,3,1,8,5,286,220,7,0,0,32,26,28,5,10,7.32
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,40205e53-4f26-48b2-a522-4f69f480bf71,内雷奥 卡佩罗,3fc61f8d-8bc4-4b79-8286-80a7329e9f85,MF,20,59,B,generated,22960.0,GOOD,2,0,2,0,-1,0,0.008,0.0,80,92,0,,0,0,1.2,quadriceps,12.17,0,"[8.0, 6.3, 8.1]","[50, 50, 50]",16,8,2,32,15,347,303,9,7,3,52,34,39,11,12,8.43
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,62a7ff10-357e-43e8-9c09-3a66402a0deb,加布里埃尔 罗西,005f94ee-3a2a-40f1-ad73-05fd63a5281a,MF,32,61,C,generated,32585.0,GOOD,4,0,4,0,-1,0,0.016,0.0,85,89,0,,0,0,2.5,shoulder,-4.89,0,"[7.9, 7.8, 8.4]","[50, 50, 70]",16,6,7,26,12,266,233,16,5,4,49,40,25,7,4,8.35
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,9209e930-5249-4b8b-bdb0-04ab6af7857c,乌戈 费雷罗,f0d412d9-cf77-4cf1-8368-9b48b8566d95,MF,23,49,C,generated,16294.0,NEUTRAL,0,-1,2,1,-1,-2,0.0,3.0,98,13,0,,0,0,0.0,hamstring,11.2,0,"[6.3, 9.4, 6.5]","[50, 50, 50]",6,1,0,4,3,43,40,0,1,0,11,9,7,2,2,7.13
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,773e9696-7869-4920-90eb-15f9dfb99b4c,康拉德 马尚,6e731445-44c8-4802-8b1c-7097d9e5f4ab,DF,29,48,B,generated,23072.0,NEUTRAL,0,0,0,0,-1,0,0.0,-4.0,100,55,0,,0,0,0.0,hamstring,-15.12,0,"[7.2, 6.9, 6.6]","[50, 50, 50]",18,1,1,14,7,297,226,2,1,0,26,20,28,13,4,6.97
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,a3f4026b-b7e2-4b78-a5b7-2c09842b5a14,马茨 芬克,37b3e996-ff38-44dd-a715-1a0e5caf896c,FW,19,66,B,generated,32529.0,GOOD,2,0,2,0,-1,0,0.008,-4.0,84,91,0,,0,0,1.2,quadriceps,14.83,0,"[7.2, 7.4, 7.1]","[50, 50, 50]",17,7,3,26,12,271,198,11,9,5,48,24,31,19,9,7.98
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,4aefef2a-504c-4867-b7a2-551d6ab6a4f7,莱安德罗 安布罗西尼,2e53bd39-4e17-450f-ad40-b86cedcc6634,MF,19,64,B,generated,36600.0,GOOD,5,0,4,1,-1,0,0.02,3.0,100,71,0,,0,0,0.0,hamstring,14.11,0,"[7.0, 8.8, 10.0]","[50, 50, 50]",17,5,4,26,17,377,314,14,7,3,46,33,33,13,20,8.31
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,3dd59953-34e9-48a1-a669-19524732b1d4,尤利安 阿吉拉尔,b0793456-58ba-4443-a6d4-98f22633cd4d,MF,25,52,B,generated,19890.0,GOOD,4,-1,4,1,-1,0,0.016,3.0,100,66,0,,0,0,0.0,hamstring,2.73,0,"[9.5, 8.3, 7.6]","[50, 50, 50]",16,5,4,26,16,287,230,15,10,6,40,32,31,7,2,7.92
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,3f14c12a-6c36-4150-a6f8-db9157ac120e,优努斯 尤努斯,fd297cdb-1b78-4163-91c3-ea01e41b3bfa,MF,19,58,C,generated,22686.0,GOOD,5,0,4,1,-1,0,0.02,3.0,100,46,0,,0,0,0.0,hamstring,14.06,0,"[7.4, 8.6, 9.5]","[50, 50, 50]",16,4,2,21,8,266,222,6,5,3,39,24,36,9,4,7.62
