season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,rookie_market_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level,reserve_budget,reserve_spent,reserve_auto_used,reserve_medical_used,reserve_events_used,reserve_usage_pct,reserve_pct_of_locked,medical_count,medical_cost,medical_reserve_paid,medical_cash_paid,medical_enhanced,medical_specialist,medical_aggressive,medical_avg_days_reduced
1,455699c0-edca-4e58-9186-1ec5b18670d4,0068d796-b8d4-4a10-a267-befd4f89a482,真蓝黑亚,True,24ffe1b0-2ada-4dfe-ad40-e6edb32bf837,4,7,11,14,3,2,9,16,26,-10,17,49.18,55.62,63,4,0,3,0,0,0,1600000.0,432285.9,27.02,11135937.48,A,none,226400.0,0.0,0.0,0.0,0,0.0,8.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,00bc87c8-fe9a-4e0c-a99c-0834a18108f6,水手桑普,True,24ffe1b0-2ada-4dfe-ad40-e6edb32bf837,4,2,31,14,9,4,1,32,18,14,17,50.0,58.0,70,7,0,4,1,0,0,1600000.0,415591.9,25.97,11251535.52,A,none,198100.0,0.0,0.0,0.0,0,0.0,7.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,011e50ac-bea7-4f7e-81ae-6c4d4f257c7f,马里帝国,True,9da4d4ae-fb76-4bb5-880b-9ccfdd9fd8ca,4,3,22,14,7,1,6,25,20,5,17,51.18,57.62,72,3,0,3,0,0,0,1600000.0,370652.2,23.17,10923509.98,A,none,424500.0,0.0,0.0,0.0,0,0.0,15.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,01e55848-c76b-4e83-a597-db500990b823,矿工沙尔,True,7ff219d0-b47c-42b9-b7d6-2a32b3b05b0f,4,3,24,14,7,3,4,26,22,4,17,49.29,55.25,61,6,0,2,0,0,0,1600000.0,407446.8,25.47,11204098.5,A,none,283000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,029799de-6798-4947-a85e-e57d305c60db,咖啡起源,True,907d3a41-6a2a-45e0-a9d5-785d8f8e5795,4,6,15,14,4,3,7,29,32,-3,17,51.53,58.88,68,5,0,2,0,0,0,1600000.0,400002.7,25.0,11192598.75,A,none,283000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,03a3cd88-344d-447f-97e8-1b6fd168f87c,流水无痕,True,ddba9114-41f9-45fa-a164-259266417371,4,8,15,14,4,3,7,19,31,-12,17,51.47,57.12,64,6,0,2,1,0,0,1600000.0,375618.9,23.48,11165218.77,A,none,283000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,04dd8f45-eed1-4dd5-a2b4-4b3fa44df722,图西胡图,True,9da4d4ae-fb76-4bb5-880b-9ccfdd9fd8ca,4,6,16,14,5,1,8,22,25,-3,17,49.82,57.75,66,8,0,2,0,0,0,1600000.0,411621.9,25.73,11148062.25,A,none,283000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,05902029-052d-47f3-a763-56cb95cf9dc3,铁翼飞鹰,True,8d7aa7b8-73f5-4999-837a-9d0fcfb7d136,3,3,22,14,6,4,4,37,24,13,17,56.35,63.75,75,8,0,4,1,0,0,2250000.0,658679.0,29.27,15826552.98,A,none,555000.0,0.0,0.0,0.0,0,0.0,15.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,0866f08e-c3ad-42de-8cbe-6cafdf292f5e,圣徒南安普,True,6553e482-3a3d-4f38-b587-f84bb132cef8,2,4,25,14,8,1,5,37,24,13,17,68.12,76.88,79,5,0,2,0,0,0,3100000.0,1370848.65,44.22,20981097.6,A,none,467000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,08a966e0-df07-4f60-adbf-268dbf2af81e,赤龙焚天,True,d4a74a6b-07be-470c-8520-468b62201b26,1,6,17,14,4,5,5,31,30,1,17,76.71,87.5,95,6,0,2,0,0,0,4200000.0,2626614.0,62.54,25193337.48,A,none,580000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
