season_number,season_id,player_id,player_name,team_id,position,age,ovr,potential,origin_type,wage,match_form,state_score,contract_score,recent_match_score,fitness_score,match_load_score,match_rust_score,attribute_modifier_pct,stamina_modifier,recent_ratings,recent_minutes,matches,goals,assists,average_rating
4,bf73723e-0606-4359-8545-e6357e2e4574,3f2df566-6426-4357-9948-1b4b9221c76d,戈尔卡 因扎吉,74dc07ee-0898-40a0-a0d6-8daee888090b,MF,27,70,A,generated,94050.0,NEUTRAL,1,0,4,-2,-1,0,0.004,-18.0,"[8.6, 7.8, 8.7]","[50, 50, 50]",19,3,1,7.71
4,bf73723e-0606-4359-8545-e6357e2e4574,8469d064-072d-4961-a62d-8a651716120f,扎哈尔 涅克拉索夫,313c5422-c185-43ac-92fe-56acd302f71c,MF,24,57,A,generated,28458.0,LOW,-3,-2,0,0,-1,0,-0.012,-4.0,"[6.6, 6.4, 6.7]","[50, 50, 50]",10,1,0,6.94
4,bf73723e-0606-4359-8545-e6357e2e4574,886eda07-6501-486b-817b-43f8996a97c0,马凯 克莱门茨,11fbf46f-5233-405a-83dc-0e6238a4b678,DF,28,61,A,generated,41234.0,LOW,-2,-1,2,-2,-1,0,-0.008,-18.0,"[7.7, 7.3, 8.2]","[50, 50, 50]",16,1,1,7.17
4,bf73723e-0606-4359-8545-e6357e2e4574,78e1c51b-bf0b-47bc-8488-6b5491241989,蒋嘉明,b4fff948-b70d-4f6f-9aa2-1470587d7839,GK,32,60,A,generated,48780.0,LOW,-5,-2,0,-2,-1,0,-0.02,-18.0,"[5.8, 7.1, 6.6]","[50, 50, 50]",15,0,0,6.51
4,bf73723e-0606-4359-8545-e6357e2e4574,c4887add-f90c-4065-a653-5f091f3ac608,江篪,9d43d8cd-57ef-4dca-8721-ac695acb87bf,MF,27,87,S,generated,273790.0,NEUTRAL,1,0,4,-2,-1,0,0.004,-18.0,"[8.5, 8.2, 10.0]","[50, 50, 50]",17,7,4,8.48
4,bf73723e-0606-4359-8545-e6357e2e4574,18f04b88-e381-412b-9a8b-c24bec9b411c,拉多米尔 萨维利耶夫,74be8e1c-e27c-4cd1-8aaf-e0182af4a72b,DF,32,57,A,generated,37870.0,LOW,-4,-2,-1,0,-1,0,-0.016,-4.0,"[6.3, 6.1, 6.1]","[50, 50, 50]",10,1,0,6.47
4,bf73723e-0606-4359-8545-e6357e2e4574,b5da767a-4748-40a2-80c2-89b180b81bdd,阿克巴尔 卡迈勒,9626f86a-0547-4858-9221-b5f9802e677f,MF,23,65,S,generated,58500.0,NEUTRAL,1,0,4,-2,-1,0,0.004,-18.0,"[7.7, 9.5, 9.7]","[50, 50, 50]",15,8,3,8.45
4,bf73723e-0606-4359-8545-e6357e2e4574,f60eed81-a1ee-4d77-a10e-e9ffecaf8476,韩海宁,fa05cf5f-854b-4834-b1ff-ae470948fdb4,DF,30,81,S,generated,147830.0,LOW,-3,0,0,-2,-1,0,-0.012,-18.0,"[6.8, 6.7, 7.3]","[50, 50, 50]",16,3,1,7.41
4,bf73723e-0606-4359-8545-e6357e2e4574,281b7238-8f7a-4c54-ba4c-b2602026da1f,戴尔 杜兰,0242f21a-8b9b-4208-aadb-86fb1fd449a2,FW,28,59,A,generated,43926.0,NEUTRAL,-1,-2,2,0,-1,0,-0.004,0.0,"[7.1, 7.8, 6.7]","[50, 50, 50]",8,0,3,7.1
4,bf73723e-0606-4359-8545-e6357e2e4574,3f6aca6f-4967-45b9-b6bb-ee5a3822afb3,格里戈里斯 托纳利,36c5314f-4d79-4654-be87-9464aafb9690,GK,34,60,A,generated,50130.0,LOW,-8,-2,-3,-2,-1,0,-0.032,-18.0,"[5.8, 6.4, 4.8]","[50, 50, 50]",16,0,0,6.36
4,bf73723e-0606-4359-8545-e6357e2e4574,a8c3936a-fd7d-4e7b-8676-4118638b4a66,埃万耶洛斯 卡布里尼,718f50ad-1cfa-496b-88a9-ac1e32eb7a25,DF,29,74,S,generated,100890.0,LOW,-3,0,0,-2,-1,0,-0.012,-18.0,"[7.5, 6.7, 5.9]","[50, 50, 50]",16,1,0,7.12
4,bf73723e-0606-4359-8545-e6357e2e4574,5876a49a-6b54-4387-ab08-8ae2ccaf5c57,马科斯 奥尔蒂斯,52b387be-648a-4fa3-a51e-5c34309c7310,FW,37,54,A,generated,28620.0,LOW,-3,-2,0,0,-1,0,-0.012,0.0,"[6.7, 6.7, 6.4]","[50, 50, 50]",7,0,0,6.47
4,bf73723e-0606-4359-8545-e6357e2e4574,2592e97c-ef47-4811-91ee-372c4963a113,韦晨峰,3b2eeeaf-91a3-4139-96c7-9d9a3c506324,FW,22,62,S,generated,42798.0,LOW,-3,-1,0,1,-1,-2,-0.012,3.0,"[7.9, 6.9, 6.4]","[50, 50, 50]",3,1,0,7.1
4,bf73723e-0606-4359-8545-e6357e2e4574,d0dd2468-d2d2-4b96-b5f9-95d1606cdc02,阿瑞斯 梅耶,d71c98f8-59f1-4a75-bc58-83b1ecd27981,MF,29,86,S,generated,199260.0,NEUTRAL,1,0,4,-2,-1,0,0.004,-18.0,"[9.0, 9.1, 7.9]","[50, 50, 50]",17,6,5,8.32
4,bf73723e-0606-4359-8545-e6357e2e4574,60aa7d8a-8b93-46d8-9adf-ece4d9549265,维亚切斯拉夫 什捷缅科,2f517220-de2d-4a97-a5a8-a2aa2aa43099,FW,22,61,A,generated,34712.0,NEUTRAL,-1,-2,2,0,-1,0,-0.004,0.0,"[8.5, 6.8, 7.0]","[50, 50, 50]",8,2,1,7.49
4,bf73723e-0606-4359-8545-e6357e2e4574,4b83febb-b28e-4c06-b200-2609e95534f9,库斯托迪奥 卡马乔,6ae6ba0d-e837-4519-bdd8-9ef6d56e8053,DF,25,70,A,generated,83002.0,LOW,-2,-2,2,1,-1,-2,-0.008,3.0,"[7.4, 6.1, 9.9]","[50, 50, 50]",3,2,0,7.77
4,bf73723e-0606-4359-8545-e6357e2e4574,1e3fc4a6-0cf2-4eb0-af4d-60e30dff72ff,侯伟宇,4827bcfa-ad0c-4570-a1bb-e73e4531857d,MF,30,72,A,generated,84240.0,NEUTRAL,1,0,4,-2,-1,0,0.004,-18.0,"[7.7, 7.2, 10.0]","[50, 50, 50]",15,3,0,7.95
4,bf73723e-0606-4359-8545-e6357e2e4574,48013921-d4a9-42c3-a7a1-db53ce251e84,夏鹏飞,5756d9a0-5fed-40dc-9981-af7fd1b0a0a9,FW,28,70,A,generated,94050.0,NEUTRAL,1,0,4,-2,-1,0,0.004,-18.0,"[10.0, 7.5, 7.2]","[50, 50, 70]",18,6,2,8.03
4,bf73723e-0606-4359-8545-e6357e2e4574,3e106988-bb93-4e67-9876-ef44bee19ac5,格雷瓜尔 范登贝赫,dc18fbbd-e586-44a9-b293-33f29e574c86,FW,25,63,A,generated,51966.0,LOW,-5,-2,-1,1,-1,-2,-0.02,3.0,"[6.1, 6.4, 6.2]","[50, 50, 50]",9,0,1,6.74
4,bf73723e-0606-4359-8545-e6357e2e4574,63df5203-9738-430a-b400-b56e8d778c60,秀吉 矢口,384f01a0-83ea-4923-b450-d4672f0661fe,FW,28,67,A,generated,74250.0,NEUTRAL,-1,0,2,-2,-1,0,-0.004,-18.0,"[7.3, 6.8, 8.8]","[50, 50, 50]",15,6,1,7.91
4,bf73723e-0606-4359-8545-e6357e2e4574,a33657bc-d2f6-4281-8baa-25aab78419eb,毛耀彬,74dc07ee-0898-40a0-a0d6-8daee888090b,MF,31,69,A,generated,56525.0,LOW,-4,0,-1,-2,-1,0,-0.016,-18.0,"[5.7, 7.1, 6.4]","[50, 50, 50]",19,6,0,7.66
4,bf73723e-0606-4359-8545-e6357e2e4574,38d1299d-a926-4a66-9fae-9ae55078c868,基思 利文斯顿,daef3762-8681-454f-8dad-3aa6204f616d,DF,25,70,A,generated,76950.0,LOW,-3,0,0,-2,-1,0,-0.012,-18.0,"[7.1, 6.5, 7.6]","[50, 50, 50]",15,2,1,7.34
4,bf73723e-0606-4359-8545-e6357e2e4574,671a2eda-0cd1-497e-82ca-4207de5e3118,格奥尔格 帕努奇,0c8053f3-c52d-40b3-a3b1-af7fb78cbbf3,MF,29,70,A,generated,72900.0,NEUTRAL,-1,0,2,-2,-1,0,-0.004,-18.0,"[8.2, 7.7, 7.9]","[50, 50, 50]",16,3,0,7.91
