season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,rookie_market_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level
4,bf73723e-0606-4359-8545-e6357e2e4574,006a6948-c022-4140-9f09-55496c717ec8,美丽游戏,True,9c6d0d26-d73b-4e64-a24b-07ecc3e24dcf,1,2,25,14,7,4,3,38,23,15,11,80.27,84.62,97,7,0,0,0,0,0,4200000.0,2231374.0,53.13,7414347.21,A,none
4,bf73723e-0606-4359-8545-e6357e2e4574,0242f21a-8b9b-4208-aadb-86fb1fd449a2,里约狂欢,True,72fb7b0c-5295-4288-b728-03f98b7d97f1,3,3,20,14,6,2,6,27,23,4,11,68.91,72.62,87,14,0,0,0,0,0,2250000.0,1131410.0,50.28,5245373.09,A,none
4,bf73723e-0606-4359-8545-e6357e2e4574,03f5bd09-801f-446a-926d-429a38dcb222,蓝衣军团,True,811f9c6d-a4b4-4ab1-91f1-8817977993e7,4,5,18,14,5,3,6,21,22,-1,11,61.36,64.5,84,9,0,1,0,0,0,1600000.0,657782.0,41.11,3856083.71,A,none
4,bf73723e-0606-4359-8545-e6357e2e4574,041b9c14-53cd-47e2-ba36-44074062a571,莫莫之王,True,72fb7b0c-5295-4288-b728-03f98b7d97f1,3,6,16,14,5,1,8,20,31,-11,15,66.2,71.88,81,14,0,0,0,0,0,2250000.0,1058929.0,47.06,5318300.44,A,none
4,bf73723e-0606-4359-8545-e6357e2e4574,05f34921-c348-4f0f-a858-a424b12b7083,十字军东,True,5223ef74-be5a-4ff0-a3bc-6f00f60b2290,4,2,26,14,7,5,2,23,16,7,12,64.08,67.88,75,10,0,0,0,0,0,1600000.0,776392.0,48.52,3414952.99,A,none
4,bf73723e-0606-4359-8545-e6357e2e4574,06f191f9-a375-41b6-bc60-7e8b63676e15,苍穹雄鹰,True,a8fde632-9f65-467d-bc44-32641788bb66,3,5,19,14,6,1,7,30,38,-8,14,70.79,74.38,80,12,0,0,0,0,0,2250000.0,1490246.0,66.23,4330840.39,A,none
4,bf73723e-0606-4359-8545-e6357e2e4574,07056dfd-f9c6-4791-8d63-f69d100f6743,绿白贝蒂,True,b785d06a-d78a-428c-91f0-ff4a9f469f4b,4,1,39,14,13,0,1,40,14,26,12,65.67,70.75,83,7,0,2,0,0,0,1600000.0,916935.0,57.31,5566182.47,A,none
4,bf73723e-0606-4359-8545-e6357e2e4574,07965bb2-7a10-4607-8b8a-330288c20759,波斯猫王,True,0ffb4d3f-f9b6-4842-89bd-f17abe7c33e0,4,3,25,14,7,4,3,30,18,12,13,64.08,68.38,80,11,0,0,0,0,0,1600000.0,858615.0,53.66,3348077.87,A,none
4,bf73723e-0606-4359-8545-e6357e2e4574,08daac9b-7379-41a6-89f9-0175a30a57f0,金字塔尖,True,ae1face9-61aa-4db8-8abd-3463c41992ac,1,3,28,14,9,1,4,41,34,7,12,79.58,84.0,92,7,0,0,0,0,0,4200000.0,2107047.0,50.17,7349057.68,A,none
4,bf73723e-0606-4359-8545-e6357e2e4574,0a73c2c3-2dee-40ab-961d-65ad1418d3c0,金毛狮王,True,4ccb4dce-5cb6-41ee-9b8f-130355d57f46,4,7,15,14,4,3,7,17,25,-8,13,60.38,65.0,69,6,0,0,0,0,0,1600000.0,571856.0,35.74,4040584.02,A,none
