season_number,season_id,player_id,player_name,team_id,position,age,ovr,potential,origin_type,wage,match_form,state_score,contract_score,recent_match_score,fitness_score,match_load_score,match_rust_score,attribute_modifier_pct,stamina_modifier,recent_ratings,recent_minutes,matches,goals,assists,average_rating
1,1becb771-63d7-4552-9955-44e42acf801f,865a5df4-4f76-4d36-a7cf-73b18216e93d,邹灯,74dc07ee-0898-40a0-a0d6-8daee888090b,MF,28,81,S,generated,200200.0,NEUTRAL,1,0,4,-2,-1,0,0.004,-18.0,"[8.3, 10.0, 8.7]","[50, 50, 50]",17,8,4,8.99
1,1becb771-63d7-4552-9955-44e42acf801f,7c819b68-bb48-45ca-8c0e-d9771fb45170,姚文楠,b1fccedd-f7f5-4e1a-b20d-03941bdbfd8e,FW,23,65,A,generated,55575.0,NEUTRAL,-1,0,2,-2,-1,0,-0.004,-18.0,"[7.0, 7.3, 7.7]","[50, 50, 50]",15,4,2,7.89
1,1becb771-63d7-4552-9955-44e42acf801f,2ac060eb-2646-41dc-81ad-4fcfd51f30e9,特奥 韦斯,0fa74f65-e7fb-4f14-8c52-7b634a95dee8,MF,26,80,S,generated,173060.0,NEUTRAL,1,0,4,-2,-1,0,0.004,-18.0,"[10.0, 8.5, 8.8]","[50, 50, 50]",15,12,5,8.78
1,1becb771-63d7-4552-9955-44e42acf801f,9fca5b4f-7130-44be-b0b1-736945d13b7a,周魏,e79c02dd-e7f4-46df-b204-5cab4e46018c,MF,28,72,A,generated,97240.0,LOW,-2,-1,0,0,-1,0,-0.008,0.0,"[8.0, 6.3, 6.5]","[50, 50, 50]",7,1,0,6.79
1,1becb771-63d7-4552-9955-44e42acf801f,f6e80ad5-de46-4348-8a42-5fca92e6a76e,淳 山岸,23e14ca1-58d8-4e82-8320-1660f2004670,MF,28,75,A,generated,125750.0,NEUTRAL,-1,0,2,-2,-1,0,-0.004,-18.0,"[6.5, 10.0, 6.9]","[50, 50, 50]",16,3,1,7.44
1,1becb771-63d7-4552-9955-44e42acf801f,88ccede8-63d3-414d-8ed1-9fe482435087,韩鹏文,345ce64a-0eff-45c3-892e-171f6803a8b3,DF,23,67,A,generated,66792.0,LOW,-3,0,0,-2,-1,0,-0.012,-18.0,"[6.9, 6.6, 6.7]","[50, 50, 50]",16,0,3,7.3
1,1becb771-63d7-4552-9955-44e42acf801f,5f34c807-3c16-4966-895f-a83d73bec46f,马尔特 科斯塔库塔,6e6bb008-2263-40ed-9a77-e9e836378fda,MF,26,94,S,generated,400388.0,NEUTRAL,1,0,4,-2,-1,0,0.004,-18.0,"[9.9, 8.3, 8.0]","[50, 50, 50]",19,12,7,8.8
1,1becb771-63d7-4552-9955-44e42acf801f,04e0868d-ab80-4f1a-9135-531bc60df42f,潘东伟,6793d666-1351-4faf-bc46-e23b72f29f1b,MF,25,59,A,generated,44435.0,LOW,-3,-1,0,1,-1,-2,-0.012,3.0,"[6.5, 7.2, 6.3]","[50, 50, 50]",4,0,0,6.7
1,1becb771-63d7-4552-9955-44e42acf801f,57189550-3a74-4a52-8105-3c7e3b903034,罗里 霍斯金斯,fc9e7bea-60e0-447e-883e-835c70cccbd2,DF,29,80,S,generated,137700.0,NEUTRAL,1,0,4,-2,-1,0,0.004,-18.0,"[10.0, 7.2, 8.1]","[50, 50, 50]",17,5,2,7.71
1,1becb771-63d7-4552-9955-44e42acf801f,982344f9-4c06-4665-9a2c-5de86db09719,吉恩 利,67e432d7-2e54-4ee4-a770-f40e630e6bc8,MF,25,71,S,generated,108058.0,NEUTRAL,1,0,4,-2,-1,0,0.004,-18.0,"[8.1, 8.1, 9.9]","[50, 50, 50]",16,4,1,8.01
