season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,draft_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level
1,eec6a365-28ff-4505-8014-82f62f2e8621,000acb05-06b5-4ede-bce9-0dbc890b4bc7,斑马条纹,True,3d0e1ec5-1204-45ee-8f40-44145a8042fa,4,1,33,14,10,3,1,47,19,28,15,62.67,70.25,79,0,0,0,0,0,0,169000.0,784300.0,464.08,8082416.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,014e5f4b-af91-4d1a-95d5-b5bad572c712,威尼斯假,True,b6a79412-a4f8-4f83-8812-bf579537fbd0,3,7,14,14,4,2,8,21,32,-11,15,68.73,73.38,84,0,0,0,0,0,0,221000.0,857550.0,388.03,12329375.0,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,01931a4c-e6c5-47db-8395-953059da2182,累西腓鼓,True,b6a79412-a4f8-4f83-8812-bf579537fbd0,3,1,27,14,8,3,3,34,22,12,15,69.67,77.88,98,0,0,0,0,0,0,221000.0,869450.0,393.42,12329458.35,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,02b360d0-64ac-4b07-a666-b29058b6fd85,金毛狮王,True,ab9af630-8844-4457-95e7-18138c9e22f4,4,1,35,14,11,2,1,36,17,19,15,65.67,71.75,82,0,0,0,0,0,0,169000.0,820850.0,485.71,8046958.35,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,02d4482a-057b-4576-bd8d-0b6ec44ddef2,红牛莱比,True,6cba0420-cd22-43aa-922a-eed95aab94e8,4,3,22,14,6,4,4,21,19,2,15,60.13,64.0,69,0,0,0,0,0,0,169000.0,753700.0,445.98,8102916.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,0463a3ef-f8e8-4ad8-8e78-4b46ef76e92b,里约狂欢,True,b6a79412-a4f8-4f83-8812-bf579537fbd0,3,4,21,14,6,3,5,32,29,3,15,69.33,74.5,94,0,0,0,0,0,0,221000.0,865900.0,391.81,12332416.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,0580d45f-dadc-45db-9270-40425e3c2405,印加帝国,True,7f70f097-d1d5-4bc3-8dfd-b74feb935acc,3,8,11,14,2,5,7,19,33,-14,15,67.13,74.12,89,0,0,0,0,0,0,221000.0,841800.0,380.9,12342500.0,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,0649139f-2381-4218-8a7a-89034795e7b5,图西胡图,True,1feeaab4-77f5-4a77-8098-6569a158e0ce,4,4,20,14,6,2,6,21,24,-3,15,64.4,69.25,72,0,0,0,0,0,0,169000.0,804850.0,476.24,8060291.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,07907148-0141-43a0-a4ab-ea5ebac94ca7,白虎啸天,True,7fe06d4a-1e63-404b-aa26-338fad5c167b,2,2,24,14,7,3,4,46,29,17,15,71.4,81.12,96,0,0,0,0,0,0,286000.0,894950.0,312.92,16653208.35,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,095ac54d-1d52-46f7-a221-44d2cab85ba3,蓝宝石海,True,88841582-a264-4a61-aa2f-b8ceb89ff528,4,7,14,14,4,2,8,15,26,-11,15,58.4,64.75,72,0,0,0,0,0,0,169000.0,729300.0,431.54,8118250.0,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,09e115e9-f5f6-4845-8aeb-0efa4a6a30ac,绿白贝蒂,True,d9d35ca9-3f25-4e7f-b28f-871fad5edfda,3,6,17,14,5,2,7,34,36,-2,15,69.6,75.0,82,0,0,0,0,0,0,221000.0,871850.0,394.5,12332458.35,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,0a92f32c-3b1b-4417-99fc-9f7ec5a8cab7,黑虎掏心,True,7fe06d4a-1e63-404b-aa26-338fad5c167b,2,3,23,14,7,2,5,35,35,0,15,73.8,81.38,95,0,0,0,0,0,0,286000.0,922350.0,322.5,16620375.0,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,0d200755-0dfe-41ea-9d77-eb543212e2b0,蓝衣军团,True,182b441b-a330-4d01-960f-03020bc5307a,4,7,15,14,4,3,7,22,25,-3,15,61.73,66.62,74,0,0,0,0,0,0,169000.0,771850.0,456.72,8087791.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,0ec19c22-ca6e-445f-9ae2-71deed48f42a,蓝军切尔西,True,796295e2-a258-4beb-9443-3a6026253f94,1,6,13,14,3,4,7,22,37,-15,15,78.53,84.75,98,0,0,0,0,0,0,357500.0,981450.0,274.53,20914625.0,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,0f266599-8702-4053-bb97-2b8e8cabc6a7,辛巴达航,True,af77bb45-213e-4795-8ed4-b3742fec4a45,1,6,18,14,5,3,6,37,31,6,15,73.27,83.38,89,0,0,0,0,0,0,357500.0,915550.0,256.1,20979541.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,0f5e11f7-9efe-49ee-ba82-ff265b5e0f18,霍村霍芬,True,a13074cc-2a72-4c9c-9b7c-c480b5dd19bc,4,2,24,14,7,3,4,22,17,5,15,62.8,69.75,92,0,0,0,0,0,0,169000.0,786800.0,465.56,8080333.35,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,113837ed-0974-4838-98b2-5b9cacedac70,波斯地毯,True,ce9d45ea-fdb6-4174-bbc6-afc0c3f4aab2,4,3,21,14,6,3,5,28,32,-4,15,61.87,67.0,79,0,0,0,0,0,0,169000.0,773600.0,457.75,8081333.35,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,11f3f7f5-c0ee-4c41-910e-9ff076f1edc3,白虹贯日,True,f71cbdd4-19a1-49aa-a8d9-6be80ae9d834,4,2,24,14,7,3,4,19,20,-1,15,59.0,65.62,77,0,0,0,0,0,0,169000.0,739150.0,437.37,8115041.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,14b20444-72f8-44f5-ba01-2598da2987c6,飞驴切沃,True,9c78b621-d16d-40b1-aaab-c578edd59a9f,4,5,17,14,5,2,7,30,30,0,15,62.27,68.75,74,0,0,0,0,0,0,169000.0,778800.0,460.83,8077000.0,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,15257eba-c1e1-4863-9e8f-536e76e892a4,狼堡沃尔夫,True,6cba0420-cd22-43aa-922a-eed95aab94e8,4,5,17,14,5,2,7,22,34,-12,15,60.8,66.75,75,0,0,0,0,0,0,169000.0,762250.0,451.04,8090791.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,15a524ea-caaf-47d8-994e-fe729befdf97,狂熊撼地,True,7c93ed99-3c8a-4037-817d-a689039083b6,4,2,23,14,6,5,3,22,12,10,15,64.33,70.62,77,0,0,0,0,0,0,169000.0,805550.0,476.66,8054708.35,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,15a8a1c9-3fb2-4f0e-9123-087b0ab96662,水蟒巨蛇,True,79c59676-c21c-4e06-a035-e5c1ebb3cc8c,4,7,17,14,5,2,7,26,28,-2,15,58.73,64.12,71,0,0,0,0,0,0,169000.0,737950.0,436.66,8111041.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,15d00b80-6e52-4d1e-a15e-5fa39902cba6,钢铁柏林,True,6cba0420-cd22-43aa-922a-eed95aab94e8,4,8,14,14,4,2,8,19,33,-14,15,58.53,66.62,80,0,0,0,0,0,0,169000.0,730400.0,432.19,8127333.35,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,17e6b2f4-0090-42ba-9112-9b81d8b027f1,炼油大师,True,cd419ef4-5053-49f6-9b9b-0a050851062c,2,2,25,14,7,4,3,35,25,10,15,72.13,81.0,88,0,0,0,0,0,0,286000.0,900700.0,314.93,16648416.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,193448d9-a489-4531-ba86-e47d9decf2be,银龙出海,True,d677af6b-40a0-44e6-a3ab-0814f0c391c7,1,7,13,14,4,1,9,23,43,-20,15,79.0,87.25,97,0,0,0,0,0,0,357500.0,988100.0,276.39,20909083.35,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,1a2342b0-5d3b-49d7-a75b-51d04b998d6d,草原战狼,True,c4d672c0-0e94-4fc4-a00b-463b7176c9f7,3,4,20,14,5,5,4,31,25,6,15,68.8,74.5,84,0,0,0,0,0,0,221000.0,862300.0,390.18,12325416.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,1acfd12e-e0d8-4127-822a-90d3f7e3bc7a,马赛马拉,True,b1143284-90ab-4648-861f-fcc099249e19,4,7,15,14,4,3,7,25,35,-10,15,62.73,69.0,80,0,0,0,0,0,0,169000.0,783400.0,463.55,8088166.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,1c9c0618-bffe-42d5-b8ae-a8ad52577364,红黑恶魔,True,182b441b-a330-4d01-960f-03020bc5307a,4,3,23,14,6,5,3,24,27,-3,15,64.33,70.0,82,0,0,0,0,0,0,169000.0,802750.0,475.0,8057041.65,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,1d983f98-c969-4cbe-89d7-93248c8ff751,阿拉伯夜,True,af77bb45-213e-4795-8ed4-b3742fec4a45,1,2,27,14,9,0,5,42,27,15,15,79.87,85.5,99,0,0,0,0,0,0,357500.0,1000050.0,279.73,20919125.0,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,1e3d8990-2cec-4dc9-ac76-5df15671d662,五人制王,True,b2f07916-c7c2-42e2-87ce-3d39db6c079c,1,6,16,14,4,4,6,28,35,-7,15,79.0,83.75,91,0,0,0,0,0,0,357500.0,987950.0,276.35,20919208.35,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,1ee943b7-d4f9-49e9-aa8c-aa3fcd7a9d4c,拉普拉塔,True,40eef7c0-2de9-4c63-b37b-5996c0368d4a,2,4,18,14,5,3,6,25,38,-13,15,68.67,75.62,86,0,0,0,0,0,0,286000.0,858800.0,300.28,16678333.35,B,crisis
1,eec6a365-28ff-4505-8014-82f62f2e8621,1f9f20f4-ce5a-4dd6-b386-d729e53a51c3,蓝鹰拉齐,True,182b441b-a330-4d01-960f-03020bc5307a,4,2,23,14,6,5,3,26,22,4,15,62.4,66.12,70,0,0,0,0,0,0,169000.0,780100.0,461.6,8075916.65,B,crisis
