season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,draft_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level
1,4487081d-f655-4460-969a-a0047ee5b4c5,014054e9-db56-4fdb-9225-0bd5570e5423,沙漠商队,True,ddea29f1-c361-4050-bf56-bc5ff3791276,3,7,13,14,3,4,7,24,39,-15,15,58.33,67.25,79,0,0,0,0,0,0,221000.0,723650.0,327.44,12601606.68,C,crisis
1,4487081d-f655-4460-969a-a0047ee5b4c5,01907485-2ab8-4523-b9fa-6912674641d3,阿拉丁灯,True,6262376f-9254-4b57-803a-c53d2ce1d2ee,4,2,28,14,9,1,4,34,22,12,15,55.8,62.88,69,0,0,0,0,0,0,169000.0,691700.0,409.29,8274866.68,C,crisis
1,4487081d-f655-4460-969a-a0047ee5b4c5,02dbd100-a687-4a30-98b6-ab54e9031a5e,非洲犀牛,True,a12e8234-05fa-4dd7-b077-7a1d458ae0cd,4,3,22,14,7,1,6,31,29,2,15,52.93,57.62,62,0,0,0,0,0,0,169000.0,654050.0,387.01,8369966.68,C,crisis
1,4487081d-f655-4460-969a-a0047ee5b4c5,033f305e-9215-4ac3-a10a-ae1c1204c8e7,阿散蒂金,True,6bce0694-9b8d-4983-8add-df52197f7f78,4,6,17,14,5,2,7,25,33,-8,15,53.47,59.88,67,0,0,0,0,0,0,169000.0,663350.0,392.51,8310486.68,C,crisis
1,4487081d-f655-4460-969a-a0047ee5b4c5,044eabcf-812c-41ad-a1f5-9db6f21ed491,少林武僧,True,f89bf661-d0ff-4ebe-acb4-1f629f9ca394,4,6,15,14,4,3,7,34,35,-1,15,53.13,57.88,68,0,0,0,0,0,0,169000.0,660700.0,390.95,8308893.32,C,crisis
1,4487081d-f655-4460-969a-a0047ee5b4c5,050123de-44eb-4a2b-a8fe-4db8a1529aa5,马赛勇士,True,6bce0694-9b8d-4983-8add-df52197f7f78,4,3,22,14,6,4,4,25,24,1,15,53.53,58.75,64,0,0,0,0,0,0,169000.0,663550.0,392.63,8368633.32,C,crisis
1,4487081d-f655-4460-969a-a0047ee5b4c5,06c64b21-bf4d-498d-a335-7523b857bb86,烈焰狂狮,True,f786406d-650d-4637-8a2d-b49ef3cf1574,4,1,29,14,9,2,3,34,17,17,15,56.6,64.62,76,0,0,0,0,0,0,169000.0,703500.0,416.27,8444560.0,C,crisis
1,4487081d-f655-4460-969a-a0047ee5b4c5,06e6569a-d5e8-4f42-8b4d-cf0a010e445c,非洲雄狮,True,a12e8234-05fa-4dd7-b077-7a1d458ae0cd,4,1,40,14,13,1,0,39,7,32,15,56.73,61.12,73,0,0,0,0,0,0,169000.0,705600.0,417.51,8435600.0,C,crisis
1,4487081d-f655-4460-969a-a0047ee5b4c5,078455f4-1ff6-4474-bc6b-426909bae577,威尼斯假,True,21388aef-d223-4465-91a3-92dd7e00e2b3,3,8,13,14,4,1,9,28,33,-5,15,58.73,62.88,69,0,0,0,0,0,0,221000.0,730000.0,330.32,12587373.32,C,crisis
1,4487081d-f655-4460-969a-a0047ee5b4c5,07ab2f4c-7945-4f8e-864b-4b6332e8d117,铁锤帮西汉,True,4d9ef5c6-8fd6-48a8-af1e-768f161ccd0c,2,6,13,14,4,1,9,23,40,-17,15,63.53,68.0,76,0,0,0,0,0,0,286000.0,789700.0,276.12,16852533.32,C,crisis
