season_number,season_id,player_id,player_name,team_id,position,age,ovr,potential,origin_type,wage,matches,goals,assists,average_rating
1,4487081d-f655-4460-969a-a0047ee5b4c5,869d3292-862d-4fc1-8ef1-ee9244546542,米格尔 帕尔多,3b55a0fc-804e-468b-9ad5-fbbe1e367ed8,MF,27,65,A,generated,53750.0,15,2,4,7.96
1,4487081d-f655-4460-969a-a0047ee5b4c5,0df24092-bb1a-4fac-b4f1-67550dbddf37,温斯顿 辛普森,e8aec47e-e785-4549-9d24-af43922f17e8,MF,26,66,A,generated,54650.0,17,3,3,7.66
1,4487081d-f655-4460-969a-a0047ee5b4c5,59cc9647-4bee-48ef-ad44-90d273a61825,法拉马兹 法里斯,10e6809e-84ce-435a-8697-71eaa5d94750,MF,29,65,A,generated,53900.0,16,6,4,8.09
1,4487081d-f655-4460-969a-a0047ee5b4c5,6b1c2952-53c6-4283-a29d-180f009024bc,陈富,b6b27e56-fb6e-4c6c-b43b-28b42d4a0ed0,DF,31,66,A,generated,54600.0,16,0,0,6.99
1,4487081d-f655-4460-969a-a0047ee5b4c5,383afb75-f131-470c-8edc-e2f683dac7b0,伯努瓦 杜邦,7ab67095-b301-4ab4-b960-91591e33c15e,DF,28,63,A,generated,52050.0,17,0,1,6.85
1,4487081d-f655-4460-969a-a0047ee5b4c5,06561a79-9c36-418a-89bd-7365e36a0f2b,明宏 西田,440cb51c-41e6-41bf-9be5-d5fd234b8be5,MF,23,58,A,generated,48200.0,17,2,2,7.79
1,4487081d-f655-4460-969a-a0047ee5b4c5,c4f1c858-630d-4b46-8337-1aa5d005ac33,托多尔 谢尔盖耶夫,656af116-ec15-45d0-a148-c14c8ee66591,DF,26,72,A,generated,59750.0,17,0,5,7.25
1,4487081d-f655-4460-969a-a0047ee5b4c5,cf3fb04f-df12-4716-bb4e-d66ebb10e488,比森特 乌多吉,0aef1107-5008-4689-8a43-157ba1191519,MF,23,76,A,generated,63250.0,19,8,3,8.43
1,4487081d-f655-4460-969a-a0047ee5b4c5,5a420d47-0b3c-4465-9331-db3e9a136353,马茨 勒克莱尔,42053a52-51ee-4911-a9ee-1ec2405ac400,MF,23,56,B,generated,46150.0,15,5,2,7.67
1,4487081d-f655-4460-969a-a0047ee5b4c5,3b20edc1-4e3a-4f73-b356-1c3b58a7822e,百里解,96224d0b-cb18-47d7-9f76-be3271e5ed83,DF,28,77,S,generated,64100.0,17,2,1,7.55
1,4487081d-f655-4460-969a-a0047ee5b4c5,b231d3ab-6362-4676-9372-22c4a784d2f1,劳厄 林德曼,bcf35420-6fb9-4593-93d5-af074ea932c2,FW,27,56,B,generated,46200.0,2,1,0,7.3
1,4487081d-f655-4460-969a-a0047ee5b4c5,1160e48f-c398-4595-8417-885e9c879a9c,布鲁诺 斯特凡诺,3892aac9-8054-4643-9c7b-a91b06fa99fd,FW,23,65,A,generated,53800.0,15,8,9,8.26
1,4487081d-f655-4460-969a-a0047ee5b4c5,932fbc63-4d88-4ebd-bf30-c9fffd842ed3,讪雅 汶摧,bf1f2c53-25f7-4829-86ef-82a16b2961a7,DF,23,71,A,generated,59200.0,16,7,2,7.7
1,4487081d-f655-4460-969a-a0047ee5b4c5,1b1982e0-ebf1-461e-bea3-fdcadc53804b,克罗斯比 莱昂斯,a11d7018-e1e8-4f8e-824e-19fdc3fa6ea5,MF,24,64,A,generated,53000.0,15,4,2,7.79
1,4487081d-f655-4460-969a-a0047ee5b4c5,940eec88-a656-4285-8cfe-df67775c0493,刘泽恬,6b6bb06a-849d-4a43-9fe9-22ced7c1628a,FW,24,56,A,generated,46500.0,16,11,4,8.34
1,4487081d-f655-4460-969a-a0047ee5b4c5,fbc9c7e4-08a3-4b67-9576-48cd8c370a87,盖斯 穆拉特,4e3e410c-1b95-45bd-927a-d44638c55bcf,MF,27,66,A,generated,54600.0,17,7,3,8.13
1,4487081d-f655-4460-969a-a0047ee5b4c5,a234e745-9d28-469c-9d5b-0a579c573209,瓦莱尔 柯尼希,7e088f3c-04f6-45a3-af48-439bb31e612b,MF,32,60,A,generated,49550.0,15,3,0,7.81
1,4487081d-f655-4460-969a-a0047ee5b4c5,aed93849-40db-4565-9b8c-c0e65706badd,马克 罗,54c85925-c14a-4857-bbe7-979c107ac6f8,GK,18,58,A,generated,48550.0,15,0,0,6.5
